code,title,description,key,note,offered,credits,prereqs,ol_prereqs,restrictions,srcdb
"CHMN 299","Internship","Supervised field experience for those preparing for church ministry. Application procedures processed through the Career Center. Must apply semester prior to internship.","1032","","Resident","0","","","","2022"
"CHMN 300","Church Ministry Practicum II","A faculty supervised practical ministry experience at an approved ministry site emphasizing leadership skills. This is a continuation of Practicum I at an approved ministry site. Students are placed in a leadership role to learn principles of team ministry and develop skills in preparation, planning, and presentation. This course is designed to be taken the first semester of a student's junior year. (The course consists of forty (40) hours of ministry experience that must be completed during the semester in which the student is registered for the course. Assessment of the student's ministry experience will be required for this class.)","1033","","Resident","1","CHMN 201 and CHMN 205","","","2022"
"CHMN 301","Foundations of NextGen Ministry","An investigation of specific elements that are building blocks for biblical education from birth through late adolescents in NextGen Ministry.  Foundational issues, principles of teaching, and curriculum development will be studied. (Formerly <a href=""/search/?p=YOUT%20301"" data-action=""result-detail"" data-group=""code:YOUT 301"" >YOUT 301</a>)","1034","","Online","3","CHMN 201","","","2022"
"CHMN 305","Church Ministry Practicum III","A faculty supervised practical ministry experience at an approved ministry site emphasizing leadership skills. This is a continuation of Practicum II at an approved ministry site. Students are placed in a leadership role to learn principles of team ministry and develop skills in preparation, planning, and presentation. This course is designed to be taken the first/second semester of a student's junior year. (The course consists of forty (40) hours of ministry experience that must be completed during the semester in which the student is registered for the course. Assessment of the student's ministry experience will be required for this class.)","1035","","Resident","1","CHMN 201 and CHMN 205 and CHMN 300","","","2022"
"CHMN 310","Multi Ethnic Church Ministry","This course prepares students with the skills necessary for multi-ethnic church leadership and ministry for the purpose of multiplying indigenous leaders within a twenty-first century church context. Emphasis will be placed on cross-cultural ministry, diversity in church ministry, church health/growth, minority worship strategies, minority disciple-making, and multi-ethnic church multiplication.","1036","","Resident","3","CHMN 250 (may be taken concurrently)","","","2022"
"CHMN 315","Apologetics and Evangelism in an Urban Ministry Context","This course equips students with the communication strategies necessary to missionally engage Christian cults, religious groups, and social movements in cities through leading a healthy, growing, and multiplying twenty-first century church. Emphasis will be placed on personal evangelism strategies in majority minority communities within the city and local church outreach.","1037","","Resident","3","CHMN 250 (may be taken concurrently)","","","2022"
"CHMN 360","Foundations in Ministry Programming","A study of the foundational components of church ministries programming which includes: developing a philosophy of ministry, ministry assessment, calendar planning, budgeting, leadership development, and safety issues.","1038","","Resident","3","CHMN 201 and CHMN 205","","","2022"
"CHMN 387","Methods of Teaching Bible and Religion","A study of the laws of teaching and learning as they apply to various situations in which the student has an opportunity to observe and apply the principles and art of effective teaching. The student will be given an opportunity to observe and apply the principles of effective teaching.","1039","","Online","3","RLGN 301 and (BIBL 105 and BIBL 110 and BIBL 360 and THEO 360) or (BIBL 105 and BIBL 110 and BIBL 350 and THEO 360) or (BIBL 105 and BIBL 110 and BIBL 360 and THEO 350) or (BIBL 104 and BIBL 360 and THEO 360) or (BIBL 104 and BIBL 350 and THEO 360) or (BIBL 104 and BIBL 360 and THEO 350)","","","2022"
"CHMN 400","Leading NextGen Ministry","This course is designed to teach the student the essential competencies required for leading in NextGen ministry.  Emphasis will be placed on leading and effective strategy of spiritual formation that engages the entire family from birth to college in the local church.","1040","","Online","3","YOUT 201 and CHMN 301 and THEO 330","","","2022"
"CHMN 420","Contemporary Issues in Urban Ministry","This course challenges students to be critical thinkers in a morally relativistic American Culture. Through a comparison and contrast of current issues concerning racial justice, sexuality, and moral relativism students will walk away with a robust understanding of current issues facing the city, and how to biblically engage the city with a sound exegesis from a biblical worldview.","1041","","Resident","3","CHMN 250 (may be taken concurrently)","","","2022"
"CHMN 447","Discipleship in Church Ministries","This course is an investigation of the factors which influence spiritual development. Attention is given to exploring the biblical and theological foundations for discipleship and making application to the discipleship process. (Crosslisted with <a href=""/search/?p=YOUT%20447"" data-action=""result-detail"" data-group=""code:YOUT 447"" >YOUT 447</a>)","1042","","Resident","3","CHMN 201 and CHMN 205 and CHMN 300 and CHMN 360 and (RSCH 201 or Inquiry Research with a score of 80 or Research Assessment with a score of 80 or Research (prior to 2017-2018) with a score of 80)","","","2022"
"CHMN 450","Leadership and Management in Ministry","This course is designed to teach the student the basic organization necessary for an effective local church and Christian ministry.  Emphasis is placed on the development of biblical management and leadership skills. Attention is given to the student's spiritual life, personal life, and ministry life. Topics addressed include the call to ministry, stages of ministry, finding the right church or ministry, personal piety, and staff relations and development. (Crosslisted with <a href=""/search/?p=YOUT%20450"" data-action=""result-detail"" data-group=""code:YOUT 450"" >YOUT 450</a>)","1043","","Resident","3","CHMN 201 and CHMN 205 and CHMN 300 and CHMN 360","","","2022"
"CHMN 489","Church Ministries Capstone","A capstone course designed to equip the student in developing a master plan for ministry, and will focus on reviewing the acquired knowledge, value and skills of the church ministry curriculum. This course seeks to integrate the concepts, techniques, and knowledge of all areas of church ministry. This course is designed to be taken the final semester for graduating seniors. Attention is given to the student's spiritual, personal and ministry life.","1044","","Resident","3","","","","2022"
"CHMN 495","Directed Research",".","1045","","Resident","1","","","","2022"
"CHMN 497","Special Topics in Church Ministry",".","1046","","Resident","1","","","","2022"
"CHMN 499","Internship","A supervised field experience designed for students preparing for a position in the field of church ministries, such as ministry director, ministry coordinator in a local church or a director in a parachurch organization. This internship will focus on the organization, teaching, and leadership components of ministry. The site must be approved by the Department of Church Ministries.","1047","","Resident","1","","","","2022"
"CHMN 500","Foundational Leadership Models for Next Generation Ministry","This course explores the necessary skills and competencies for leading next generation ministry. It will introduce current and developing models in response to current cultural issues in the context of local church ministry.","1048","","Online","3","","","","2022"
"CHMN 501","Introduction to Christian Ministry","This course offers a biblical rationale for gospel-centered ministry while also providing an overview of practical ministry principles applicable to church, nonprofit, and/or parachurch settings. Special consideration is also given to formational ministry concepts and processes relating to the minister as well as the ministry audience.","1049","","Online","3","","","","2022"
"CHMN 510","Issues and Trends in Next Generation Ministry","This course explores the cultural trends and issues impacting the current generation of children, adolescents, and their families. Current and developing trends will be evaluated from theological and sociological perspectives in the context of local church ministry.","1050","","Online","3","","","","2022"
"CHMN 520","Making Disciples for the Next Generation Ministry","This course focuses on the nature and mandate of the Great Commission and with specific application to next generation ministry. It will guide students in developing effective and insightful models for making disciples among children and adolescents in partnership with their families and connected to the larger mission of the local church.","1051","","Online","3","","","","2022"
"CHMN 679","Capstone","The Capstone is designed for those with two or more years of full-time, paid vocational ministry experience. Course approval must be done in advance by the Director of Experiential Education. This course will require students to resource knowledge acquired from the entirety of the coursework completed in the MDIV degree program. The core competencies and knowledge from each major area of the degree will be resourced in a comprehensive project that outlines a broad understanding in divinity and a developing ministerial identity.","1052","","Resident and Online","3","","","","2022"
"CHMN 689","Applied Ministry Capstone","This capstone course will be taken in the final semester of the student’s degree program and will assimilate key principles, strategies, and information addressed throughout this program. A major focus of the course will be a substantive capstone project which engages concepts learned throughout the program and showcases their understanding of the knowledge, strategies, skills, and processes necessary for effective ministry implementation and leadership.","1053","","Online","3","((CHMN 501 and NBST 515) or (NBST 520 and OBST 515) or (OBST 520 and THEO 610))","","","2022"
"CHMN 699","Internship","The Internship is designed for those with less than two years of full-time, paid vocational ministry experience.  The ministry, mentor, and nature of involvement must be approved in advance by the Director of Experiential Education. Internship involves work in an applied ministry setting where students continue to apply, adapt, and improve their skills in a supervised ministry situation. In order to complete this internship, students must be working and/or serving in a church or ministry under the supervision of a qualified ministry leader and complete a minimum of 150 hours of internship.","1054","","Resident and Online","3","","","","2022"
"CHMN 810","Foundations for Church Revitalization","This course will address the foundational concepts necessary for church revitalization. It will consider the revitalization themes throughout the Old and New Testaments and the strongest leadership traits of those God used to bring new life to His people.","1055","","Online","3","DMIN 810","","","2022"
"CHMN 820","Strategic Leadership for Church Revitalization","A practical study of the elements that are required for church leaders to lead the church revitalization process effectively. This will include the guiding values, leadership structure, facility assessment, location, and overall feasibility of the church revitalization. The historical foundations of church revitalization in the 20th century will be examined.","1056","","Online","3","DMIN 810 and CHMN 810","","","2022"
"CHMN 830","Change and Conflict in Church Revitalization","An advanced course for pastors and church leaders who are called to lead a church through the process of church revitalization. This course will give the pastor and church leader the biblical and practical understanding, training, and leadership skills to successfully navigate change and conflict in a church that is engaging revitalization process.","1057","","Online","3","DMIN 810 and CHMN 810","","","2022"
"CHMN 840","Leadership Models for Next Generation Ministry","This course explores the necessary skills and competencies for leading next generation ministry. It will introduce current and developing models in response to current cultural issues in the context of local church ministry. Research related to the future of next generation ministry will be engaged with emphasis given to a biblical/theological critique of proposed ministry methods.","1058","","Online","3","DMIN 810","","","2022"
"CHMN 841","Issues and Trends in Next Generation Ministry","This course explores the cultural trends and issues impacting the current generation of children, adolescents, and their families. Current and developing trends will be evaluated from a theological and sociological perspectives in the context of local church ministry. Research related to the future of next generation ministry will be initiated to further the church's effective response to these issues.","1059","","Online","3","DMIN 810","","","2022"
"CHMN 842","Making Disciples for the Next Generation","This course focuses on the nature and mandate of the Great Commission and with specific application to next generation ministry. It will guide students in developing effective and insightful models for making disciples among children and adolescents in partnership with their families and connected to the larger mission of the local church. Students will engage in research that identifies and supports the most effective strategies for making disciples for the next generation.","1060","","Online","3","DMIN 810","","","2022"
"CHMN 850","A Biblical and Missiological Theology of the City","This course introduces students to a biblical and missional theology of the city. Students will learn that, beginning in Genesis and ending in the Book of Revelation, the Bible offers a distinctive view of the city and its place in the mission of God and the mission of the church. Students will acquire a solid biblical and theological framework within which they can design a ministry to the city that is faithful to God’s word and God’s mission while serving the distinctive needs of the city.","1061","Course offered beginning in Spring 2020","Online","3","DMIN 810","","","2022"
"CHMN 851","Contemporary Issues of the City","This course challenges students to be critical thinkers in a rapidly changing culture. Through a comparison and contrast of current issues concerning racial justice, sexuality, arts/entertainment, and compassion ministry, students will gain a robust understanding of current issues and how to address ministry needs in the city with a sound biblical exegesis. Emphasis will be placed on understanding significant historical events in American and global history that have shaped the attitudes and values of the city.","1062","Course offered beginning in Spring 2020","Online","3","DMIN 810","","","2022"
"CHMN 852","Disciple-Making Strategies among Diverse Communities","This course is a practical guide to healthy disciple making in impoverished settings and ethnically diverse communities. Emphasis will be placed on indigenous disciple making strategies, spiritual formation among Black and Hispanic communities, and case studies on multi-ethnic church ministry. This course will help students cultivate a multi-ethnic ministry consciousness for city ministry.","1063","Course offered beginning in Spring 2020","Online","3","DMIN 810","","","2022"
"CHMN 860","Marks of a Disciple","This course guides students through an intensive biblical study identifying the essential marks of a disciple. Students explore the nature of a disciple and the importance of knowing the ultimate target of the Great Commission in making disciples of all nations.","1064","","Online","3","DMIN 810","","","2022"
"CHMN 861","Marks of a Biblical Church","This course guides students through an intensive biblical study of the New Testament in identifying the essential marks of the church. Students will explore the characteristics of the church as demonstrated primarily through Acts and the epistles. Additionally, students will evaluate the health of a local church.","1065","","Online","3","DMIN 810","","","2022"
"CHMN 862","Leading Strategic Ministry Change","This course guides students through major issues to consider when leading an organization through change. Students will explore the way people respond to change and how to help navigate conflict in bringing about organizational change.","1066","","Online","3","DMIN 810","","","2022"
"CHND 101","Conversational Hindi I","An introductory course designed to develop practical conversational Hindi skills. Intended for students whose first language is not Hindi and/or have no previous Hindi training and/or experience.","1067","","Online","3","","","","2022"
"CHPL 500","Introduction to Chaplaincy Ministry","Examines the theological and cultural issues of a formal and informal ministry setting. Explores the similarities and differences among the various types of chaplaincies. Gives attention to ministry in religiously pluralistic, multicultural and multi-staff environments. Emphasizes skills, strategies and character traits necessary for effective ministry.","1068","","Resident and Online","3","","","","2022"
"CHPL 598","Spiritual and Professional Development of the Chaplain","This course addresses the professional and spiritual formation of chaplains. Students will observe and evaluate, first-hand various chaplain ministries. Attention is given to the biblical nature of chaplain ministry and its practical application within the secular and pluralistic contexts of the military, healthcare, and community chaplain settings. Special emphasis is given to formation of godly character necessary for successful chaplain ministry.","1069","","Resident and Online","3","CHPL 500","","","2022"
"CHPL 615","Chaplain Ethics for Advisement and Pastoral Care","This course provides a study of the methodology and practice of biblical ethics applied within the secular and pluralistic contexts in which chaplains serve. Attention is given to chaplain ethical advisement of leaders and followers within the military, healthcare, and community chaplain environments. This course will prepare chaplains for ethical dilemmas through the development of an ethical decision model and personal code of ethics. Additionally, the course will address the ethics of evangelism and exercising ones faith in a pluralistic culture.","1070","","Resident and Online","3","CHPL 598 and CHPL 500","","","2022"
"CHPL 621","Mentoring for Clinical Pastoral Education Unit 1","A supportive experience for students enrolled in Clinical Pastoral Education in some clinical settings other than Liberty University under the supervision of a Liberty trained mentor for development of the student to provide pastoral care from their faith-based tradition. The field, mentor, and nature of service must be approved beforehand by the professor.","1071","","Online","3","CHPL 500 and CHPL 598 and THEO 525 and THEO 530","","","2022"
"CHPL 622","Mentoring for Clinical Pastoral Education Unit 2","This course will provide support and mentorship in the progress of pastoral care issues in the ministry particularly in the healthcare setting. The student will be introduced to pastoral care theories providing direction in developing a theory of their own pastoral care.","1072","","Online","3","CHPL 621","","","2022"
"CHPL 623","Mentoring for Clinical Pastoral Education Unit 3","In this course the student will develop understanding of their spiritual practice and how that relates to their own healthcare chaplain ministry. Through written assignments, conversations with their Liberty mentor, and clinical practice, the student will gain understanding of their ministry and develop their self-spiritual image in ministry practice.","1073","","Online","3","CHPL 622","","","2022"
"CHPL 624","Mentoring for Clinical Pastoral Education Unit 4","This course will focus on the need and expectancy of research in the ministry and mission of chaplaincy. Professional chaplaincy has moved to expect the chaplain to develop evidence-based research in this ministry and to develop best practice methods of chaplain ministry. This course will equip the professional chaplain to serve in interdisciplinary team settings in their clinical ministry using their research to give evidence-based knowledge of pastoral care.","1074","","Online","3","CHPL 623","","","2022"
"CHPL 640","Chaplain Leadership for Religious Freedom","This course is a comprehensive study of chaplain leadership as it pertains to providing for the free exercise of religion and defending that constitutional liberty. This study will evaluate the chaplain's calling to servant leadership, examine biblical models of servant leadership, discern the internal and external dangers of chaplain leadership, and explore the unique opportunities and challenges chaplains face while seeking to provide spiritual ministry in secular and pluralistic settings. Special attention will be given to the spiritual leadership traits necessary for successful chaplain ministry.","1075","","Resident and Online","3","CHPL 598 and CHPL 500","","","2022"
"CHPL 645","Chaplain Resilient Leaders","This course will examine in depth a biblical model for resiliency and resilient spiritual leadership for chaplains, introducing key characteristics and competencies which allow chaplain leaders to be resilient and set the conditions for successful performance, to lead through inevitable crises along the way, and to help individuals and organizations rebound from downturns to a brighter future. The course also addresses how resilient leaders stand the test of time, avoiding burnout and establishing essential disciplines of replenishment.","1076","","Resident and Online","3","","","","2022"
"CHPL 655","Chaplain Evangelism and Discipleship","This course will focus on the biblical imperative of evangelism and various methods of witnessing in the pluralistic cultures in which chaplains serve.  Particular emphasis will be given to wisely sharing the Gospel in military, healthcare, and community settings.  Additionally, attention will be given to evangelism follow-up, discipleship, and scripture memorization.","1077","","Resident and Online","3","","","","2022"
"CHPL 665","Chaplain Crisis Counseling","This course is an examination of the theory and practice of crisis intervention and approaches to short term pastoral counseling focused on the ministry of chaplains. On Campus Intensive Only.","1078","","Resident","3","","","","2022"
"CHPL 680","Military Chaplaincy","This course examines the theological, historical, constitutional, and cultural basis for professional military chaplains, and addresses the chaplain's opportunity to provide spiritual leadership, pastoral care, and advise commanders in order to best care for the warrior's soul. Attention is given to scriptural and military mandates for chaplains to provide spiritual warrior care, spiritual leadership, and spiritual counsel to military leaders. Further, the skills, strategies, and character traits necessary for effective chaplain ministry within military pluralistic culture will be explored.  This course is taught as an intensive, in residence, and online.","1079","","Resident and Online","3","CHPL 500 and CHPL 598","","","2022"
"CHPL 681","Healthcare Chaplaincy","This course examines a biblical approach to theodicy, suffering and redemption, demonstrating the foundation for evangelical ministry in a healthcare environment. Attention is given to providing Christocentric spiritual care to patients and staff within pluralistic and secular settings.","1080","","Online","3","CHPL 598 and CHPL 500","","","2022"
"CHPL 682","Community Chaplaincy","This course examines a biblical approach to providing chaplain ministry in pluralistic and secular community settings. Attention is given to providing Christocentric chaplain leadership and spiritual care within the context of corporations, colleges, sports organizations, first response teams, and prison systems.","1081","","Online","3","CHPL 598 and CHPL 500","","","2022"
"CHPL 683","Sports Chaplaincy","This course examines the biblical, theological, philosophical, and cultural basis for sports chaplain ministry. Attention is given to scriptural principles empowering chaplains to provide spiritual leadership, care, and counsel to players, coaches, and families. Finally, students will evaluate and practice the skills, strategies, and character traits necessary for effective chaplain ministry within the pluralistic culture of sports.","1082","Course available Spring 2018","Online","3","CHPL 500 and CHPL 598","","","2022"
"CHPL 695","Directed Research","","1083","","","3","","","","2022"
"CHPL 698","Chaplaincy Practicum",".","1084","","","1","","","","2022"
"CHPL 699","Chaplaincy Internship","A practical field experience in military, healthcare, or community chaplaincy under the supervision of an approved mentor. The field, mentor, and nature of service must be approved beforehand by the professor. To receive 3 hours credit, students must spend a minimum of 150 field hours.","1085","","Resident and Online","3","CHPL 655 and HOMI 605 and (CHPL 680 or CHPL 681 or CHPL 682)","","","2022"
"CHPL 810","Practical Theology of Chaplaincy","The course provides a practical study of the theology of chaplaincy, as well as the application of the chaplain's theology in the secular and pluralistic contexts. Emphasis is given to the tension that exists for chaplains ministering to individuals from broad theological backgrounds. The course will prepare the chaplain to minister in pluralistic contexts, as well as, advise and mentor chaplains from a diversity of theologies.","1086","","Online","3","DMIN 810","","","2022"
"CHPL 820","Chaplain Strategic Leadership","The course provides a study in chaplain strategic leadership, focusing on the authority and responsibility of the chaplain to lead prophetically with godly character, insight, and wisdom within secular and religious contexts. Special emphasis is placed on the chaplain's position and opportunity to influence critical decisions and lives within military, healthcare, and community contexts.","1087","","Online","3","DMIN 810","","","2022"
"CHPL 830","Ethics for Chaplain Leaders","This course is a study of theoretical and applied ethical leadership for chaplains serving as religious representatives and leaders in primarily secular, pluralistic environments. It will broadly explore the field of ethics from theological and philosophical perspectives providing the student with insights to critique them against biblical truth. The course will prepare chaplains to engage ethical problems through the development and application of a biblically based ethical decision-making model and personal code of ethics. Additionally, the course will address the ethics of evangelism, civil discourse, and the free exercise of one's faith in a pluralistic culture.","1088","","Online","3","DMIN 810","","","2022"
"CINE 101","Cinematic Arts Appreciation I","The cinematic arts have a colorful history and a body of criticism and theory that has been developed regarding the production and viewing of films. Through the viewing and analysis of selected films the student will be introduced to the major theories and history of the art form.","1089","","Resident","3","","","","2022"
"CINE 110","Cinematic Arts Appreciation II","Continue your journey in Cinematic Arts Appreciation by experiencing a hybrid blend of theoretical and practical learning that investigates the visual, aural, and written cinematic arts forms.","1090","","Resident","3","","","","2022"
"CINE 201","Introduction to Screenwriting","This is a methods course intended to provide instruction in the fundamentals of screenwriting. Basic three-act structure, writing techniques, character development, and screenwriting software will be covered. This class may be used as part of the required CORE curriculum needed for students to apply and enter into the residential Center for Cinematic Arts cohort their Junior year.","1091","","Resident and Online","3","","","","2022"
"CINE 202","Introduction to Motion Picture Directing","This is a methods course intended to provide instruction in the fundamentals of motion picture directing.  Analyzing scripts, adjusting actor performance and director responsibility in the workplace will be discussed.","1092","","Resident","3","","","","2022"
"CINE 203","Introduction to Cinematography and Sound Design","This is a methods course intended to provide instruction in the fundamentals of visual and auditory storytelling.","1093","","Resident","3","","","","2022"
"CINE 204","Guerilla Filmmaking","Students will learn the concepts of producing low-budget professional independent films from license and rights to distribution.","1094","","Resident","3","","","","2022"
"CINE 260","Introduction to Documentary Filmmaking","This course provides instruction in the fundamentals of documentary producing and directing by analyzing documentaries, finding the story and the producer/director's responsibility in the workplace will be explored.","1095","","Resident","3","","","","2022"
"CINE 271","Pro Tools Fundamentals I","This course covers basic Pro Tools principles. It provides everything you need to complete a Pro Tools project from initial setup to final mix-down. The course focuses on Pro Tools software and covers a multitude of new functions and feature enhancements. Whether your project involves recording live instruments, MIDI sequencing of software synthesizers, or audio editing or region looping, this course will give you the basic skills to succeed.","1096","","Resident","3","","","","2022"
"CINE 272","Pro Tools Fundamentals II","This course provides a more detailed look at the Pro Tools system above and beyond the knowledge you gained in the Pro Tools 101 course. It covers all the key concepts and skills needed to operate a Pro Tools system at the User level. This course, along with Pro Tools 101, provides the foundation to Pro Tools User Certification and for the later 200-series of courses on Pro Tools music and post production.","1097","","Resident","3","CINE 271","","","2022"
"CINE 281","Media Composer Fundamentals I","Media Composer Fundamentals I (CINE 281) is the first course of study for pursuing Media Composer user certification.  You will learn the basic principles you need to know to be successful with Media Composer.  This course will familiarize you with the practices and processes you will use to complete a Media Composer project.  Lessons and exercises focus on a phase of the editing process, starting with organizing media, assembling a sequence, refining a sequence, creating titles and effects, and finally outputting your program so others can view it.","1098","","Resident","3","","","","2022"
"CINE 282","Media Composer Fundamentals II","Media Composer Fundamentals II (CINE 282) deepens the skills taught in Media Composer Fundamentals I (<a href=""/search/?p=CINE%20281"" data-action=""result-detail"" data-group=""code:CINE 281"" >CINE 281</a>) and will teach you what you need to know to be successful with Media Composer at a higher level.  This course will familiarize you with the practices and processes you will use to complete a Media Composer project.  Lessons and exercises will focus on a phase of the editing process, and will take you from syncing dailies, through editing and revision, and finally into sound mixing, effects, and title creation.  You will learn the tools required to successfully deliver a project from beginning to end.","1099","","Resident","3","","","","2022"
"CINE 299","Internship","","1100","","Resident","0","","","","2022"
"CINE 301","Cinema Legal Environment","The course is designed to increase the understanding of the American legal system and those legal principles that apply to the business environment. Business organizations, torts, contracts, intellectual property, and employment relationships and issues are among the topics discussed.","1101","","Resident","3","","","","2022"
"CINE 302","Story Analysis","An intensive study of film theory, focusing both on international cinema and classic Hollywood Films, the course includes analysis and application. Topics covered include story structure, montage, and the development of visual and narrative techniques.","1102","","Resident","3","","","","2022"
"CINE 303","Producing and Directing","A practical study of the various theories and methodologies of Cinema direction and producing using application, classroom examination and exercises.","1103","","Resident","3","","","","2022"
"CINE 304","Production","A study of the theory and practice in planning, execution of various digital cinema productions with emphasis on skill development and production techniques.","1104","","Resident","3","","","","2022"
"CINE 305","Editing","Study techniques and aesthetics of storytelling through Post-production.  These techniques will address both the visual and audio process, as well as the tools that make it possible.","1105","","Resident","3","","","","2022"
"CINE 306","Acting Fundamentals for Camera","The study of the profession of film acting and the film industry's expectations of the actor and director.","1106","","Resident","3","","","","2022"
"CINE 320","Feature Film Production: Concept to Distribution","This course examines all of the people and processes involved in feature film production in all phases of production. ","1107","","Resident","3","","","","2022"
"CINE 330","Micro Budget Filmmaking","In this condensed exploration of filmmaking, students learn the process of developing a low-budget film. Translating a minimum budget into the maximum quality on screen is the main focus of this course. Topics include: setting up a production company, financing and development, pre-production planning, production techniques, post-production workflow, and distribution. Students will prepare a producer's breakdown and production budget for a micro-budget screenplay.","1108","","Online","3","","","","2022"
"CINE 340","Theology and Cinema","This course explores the use of theology in cinema. As an introductory course, it seeks to answer the questions that many Christians face about movies as an artistic medium.  Namely, &quot;How should Christians view cinematic arts?&quot; This course will also focus on helping students approach movies with the eyes of a theologian. Specifically, it will instruct students to evaluate and interpret movies from a theological/philosophical perspective. Part of this will involve viewing specific movies and exegeting them to see what they reveal about culture and truth.","1109","","Online","3","","","","2022"
"CINE 350","Thesis Production","Study techniques to translate written scripts into visual storytelling by making a short film using High Definition equipment.  Storytelling techniques employed will encompass the fundamental technical understanding of working with digital camera, lenses, lighting, sound, hair/make up, wardrobe, and production design.","1110","","Resident","6","","","","2022"
"CINE 351","Thesis Post-Production","Retell the story in the post-production process by evaluating the potential of an entertainment property of a film within a market in order to ensure maximum exposure.  (Formerly <a href=""/search/?p=CINE%20451"" data-action=""result-detail"" data-group=""code:CINE 451""  class=""notoffered"">CINE 451</a>)","1111","","Resident","3","","","","2022"
"CINE 353","Feature Screenwriting","Write character-driven plots, while insuring that what is written translates to the screen as intended.  Students will understand the business of writing while learning to write, edit, develop characters, and pitch the resulting screenplay.","1112","","Resident","3","","","","2022"
"CINE 354","Production Sound","Audio production for Cinematic Arts is the study of how sound is captured, manipulated and presented in the world of on-screen storytelling. Students will learn and experience proper sound theory and engineering by creating and polishing sound design in a thesis film project.","1113","","Resident","3","","","","2022"
"CINE 355","Documentary Audio Production","This course is designed for students interested in developing documentary non-fiction pieces. The course is oriented toward field production, exploring various approaches to audio documentary work, from the journalistic to the personal. Students will learn and experience proper sound theory and engineering by creating and polishing sound design in several short documentary film projects.","1114","","Resident","3","","","","2022"
"CINE 371","Pro Tools Production II","The Pro Tools Production II course covers the core concepts and skills needed to operate an Avid Pro Tools | Ultimate system with HD-series hardware in a professional studio environment. This course builds on the Pro Tools Fundamentals I and II series of courses, providing intermediate and advanced-level Pro Tools concepts and techniques.","1115","","Resident","3","","","","2022"
"CINE 374","Production Sound Practicum","This is a directed study course implementing production and sound design techniques on three student thesis films.","1116","","Resident","3","","","","2022"
"CINE 381","Advanced Editing with Adobe Premiere Pro","Advanced Editing with Adobe Premiere Pro prepares students for a future career in post-production by covering in-depth technical aspects of Adobe Premiere Pro - including, but not limited to, project creation, bin and sequence structuring, manipulating the timeline, effects and compositing controls, exporting for delivery, project management utilities, and all other tools and settings available to the Adobe Premiere editor.","1117","","Resident","3","","","","2022"
"CINE 385","Advanced Editing and Color Correction in DaVinci Resolve","This course prepares students for a future career in post-production by covering in-depth technical aspects of DaVinci Resolve - including, but not limited to, project creation, editing techniques, effects and compositing controls, exporting for delivery, project management utilities, and all other tools and settings available to the DaVinci Resolve user. Upon completion of the class, students will have the opportunity to attain the DaVinci Resolve Certified Expert status upon passing the final exam.","1118","","Resident","3","","","","2022"
"CINE 390","Movie Stunts and Action for Camera","This workshop is for the aspiring stunt person and future action filmmaker interested in learning how to film action scenes for the camera. Students will have the opportunity to learn and practice movie stunts in front of the camera while also learning camera techniques used to capture the action.","1119","","Resident","2","","","","2022"
"CINE 391","Advanced Camera Movement","This course will cover the design and execution of camera movement using Steadicam, Ronin, Jibs, dollies, handheld. The student will have the classroom and hands on instruction time that leads to the Cinematic Arts certification for Steadicam, Ronin, and Pee Wee Dolly.","1120","","Resident","3","","","","2022"
"CINE 392","Advanced Lighting","The student will learn advanced techniques in lighting, develop skills using light meters, HMIs, distribution equipment and various grip tools. The course will involve design as well as application resulting in further mastery of the tools.","1121","","Resident","3","","","","2022"
"CINE 393","Budgeting for Feature Film","A practical study of the computerized budgeting process as applied to the motion picture industry. Emphasizes techniques and styles of efficient budgeting by completing research into building a line item production budget. Includes techniques to account for fringes, union and non-union scales and foreign currency.","1122","","Resident","1","","","","2022"
"CINE 394","Scheduling for Feature Film","A practical study of the computerized scheduling process as applied to the motion picture industry. Emphasizes techniques and styles of efficient scheduling by completing a script breakdown, breakdown sheets, production strip board, production schedule, shooting schedule and one-liner.","1123","","Resident","1","","","","2022"
"CINE 395","Advanced Visual Effects Post Production","This course familiarizes students with the basic principles of Visual Effects processes and production. Skills learned in the course may be applied to programs such as Autodesk Maya, Cinema 4D, 3D Studio Max, and Adobe After Effects and will facilitate the digital creation of both 2D and 3D objects and effects to be used in motion video.","1124","","Resident","3","","","","2022"
"CINE 396","Advanced Cinematography","This course further develops research and planning to intentionally explore the art of cinema. Work will be in the realms of theoretical and practical exercises, finding results in finished cinematic products.","1125","","Resident","3","","","","2022"
"CINE 400","Feature Pre-Production","Students will produce a long-format movie as a class by first gaining the understanding about how departments interface within their respective duties in order to bring the project to the production phase of moviemaking.","1126","","Resident","6","","","","2022"
"CINE 401","Branding and Entrepreneurship","A practical study in the dynamics of establishing, funding, and managing a small new enterprise, or acquiring an existing business using case studies, practical exercises, and class instruction.","1127","","Resident","3","","","","2022"
"CINE 402","Feature Production","Through the production of a long-format film, students, working on a class project will be immersed in the understanding of leading and crewing narratives and documentaries, as these films incorporate increasingly advanced technical demands, and sophisticated production.","1128","","Resident","6","","","","2022"
